title,abstract,authors,year,journal,doi,url,notes
Modelling Future Changes Of Habitat And Fauna In The Tonle Sap Wetland Of The Mekong,"The tonle sap is the largest wetland in south-east asia and the heart of the largest inland fishery in the world. its unique flood pulse system and annual flow reversal is a hotspot for biodiversity and productivity, as well as an essential habitat for many endangered fishes and birds. despite predicted changes to the wetland's hydrology due to climate change and hydropower development in the mekong, the consequent impacts on the fauna of the lake are poorly understood. a spatial modelling framework was developed to simulate the impact of potential scenarios of change using relationships between fauna and biophysical characteristics. potential impacts on 61 animal species with documented nutritional, conservation or ecological value were examined. a large number of species rely on gallery forest to provide important habitats for their life history, yet this area is likely to be highly impacted by permanent inundation. there is a strong synchronicity between life histories and the flood pulse; consequently continued hydrological disruptions will have a significant impact on ecosystem dynamics, imposing further challenges to conservation. protecting areas that may become suitable for gallery forests and shrublands under a modified flood regime will be crucial to management planning and the maintenance of a diverse and healthy ecosystem.",ARIAS ME;COCHRANE TA;ELLIOTT V,2014,ENVIRONMENTAL CONSERVATION,10.1017/S0376892913000283,https://doi.org/10.1017/S0376892913000283,Citations: 35 | Category: Majorité Sud
Identifying Important Conservation Areas For The Clouded Leopard Neofelis Nebulosa In A Mountainous Landscape: Inference From Spatial Modeling Techniques,"The survival of large carnivores is increasingly precarious due to extensive human development that causes the habitat loss and fragmentation. habitat selection is influenced by anthropogenic as well as environmental factors, and understanding these relationships is important for conservation management. we assessed the environmental and anthropogenic variables that influence site use of clouded leopard neofelis nebulosa in bhutan, estimated their population density, and used the results to predict the species' site use across bhutan. we used a large camera-trap dataset from the national tiger survey to estimate for clouded leopards, for the first time in bhutan, (1) population density using spatially explicit capture-recapture models and (2) site-use probability using occupancy models accounting for spatial autocorrelation. population density was estimated at d = 0.40 (0.10 sd) and d maximum-likelihood=0.30 (0.12 se) per 100km(2). clouded leopard site use was positively associated with forest cover and distance to river while negatively associated with elevation. mean site-use probability (from the bayesian spatial model) was =0.448 (0.076 sd). when spatial autocorrelation was ignored, the probability of site use was overestimated, =0.826 (0.066 sd). predictive mapping allowed us to identify important conservation areas and priority habitats to sustain the future of these elusive, ambassador felids and associated guilds. multiple sites in the south, many of them outside of protected areas, were identified as habitats suitable for this species, adding evidence to conservation planning for clouded leopards in continental south asia.",PENJOR U;MACDONALD DW;WANGCHUK S;TANDIN T;TAN CKW,2018,ECOLOGY AND EVOLUTION,10.1002/ece3.3970,https://doi.org/10.1002/ece3.3970,Citations: 24 | Category: Majorité Sud
Local Costs Of Conservation Exceed Those Borne By The Global Majority,"Cost data are crucial in conservation planning to identify more efficient and equitable land use options. however, many studies focus on just one cost type and neglect others, particularly those borne locally. we develop, for a high priority conservation area, spatial models of two local costs that arise from protected areas: foregone agricultural opportunities and increased wildlife damage. we then map these across the study area and compare them to the direct costs of reserve management, finding that local costs exceed management costs. whilst benefits of conservation accrue to the global community, significant costs are borne by those living closest. where livelihoods depend upon opportunities forgone or diminished by conservation intervention, outcomes are limited. activities can be displaced (leakage); rules can be broken (intervention does not work); or the intervention forces a shift in livelihood profiles (potentially to the detriment of local peoples' welfare). these raise concerns for both conservation and development outcomes and timely consideration of local costs is vital in conservation planning tools and processes. (c) 2018 the authors. published by elsevier b.v.",GREEN JMH;FISHER B;GREEN RE;MAKERO J;PLATTS PJ;ROBERT N;SCHAAFSMA M;TURNER RK;BALMFORD A,2018,GLOBAL ECOLOGY AND CONSERVATION,10.1016/j.gecco.2018.e00385,https://doi.org/10.1016/j.gecco.2018.e00385,Citations: 54 | Category: Minorité Sud (collab)
Spatial Model Of Livestock Predation By Jaguar And Puma In Mexico: Conservation Planning,"Predation on livestock is one of the main factors that cause the felids hunting, in particular for puma and jaguar this conflict with humans is severe. most studies have assessed the predation impacts on livestock production; however there is a spatial pattern in attacks occurrence that is feasible to analyze from ecological niche modeling. the objective of this research was to generate a risk model of livestock predation by puma and jaguar in mexico based on environmental and livestock management variables, which allows identification of zones of risk in order to define mitigation strategies at national level. we produced a geographic ensemble model of risk of predation from three algorithms for jaguar and five for puma. the variables most positively related with predation risk by jaguar were vegetative cover percentage, percentage of free grazing animals, and altitude, whereas arid vegetation has a negative influence on predation risk. in the case of puma the variables with highest contribution were livestock density, which negatively influences on the predation risk, in addition to forest and altitude, both with a positive relation. the ensemble models are an accurate approach to delineating the zones of predation risk by felids; however at a regional scale the environmental characteristics that favor predation may be different. it is recommended that researchers carry out studies for each biogeographic province that facilitate the identification of specific patterns and the definition of mitigation strategies most suitable for each one. (c) 2012 elsevier ltd. all rights reserved.",ZARCO-GONZÁLEZ MM;MONROY-VILCHIS O;ALANÍZ J,2013,BIOLOGICAL CONSERVATION,10.1016/j.biocon.2012.11.007,https://doi.org/10.1016/j.biocon.2012.11.007,Citations: 86 | Category: Sud uniquement
Machine Learning-Based Wetland Vulnerability Assessment In The Sindh Province Ramsar Site Using Remote Sensing Data,"Wetlands provide vital ecological and socioeconomic services but face escalating pressures worldwide. this study undertakes an integrated spatiotemporal assessment of the multifaceted vulnerabilities shaping khinjhir lake, an ecologically significant wetland ecosystem in pakistan, using advanced geospatial and machine learning techniques. multi-temporal optical remote sensing data from 2000 to 2020 was analyzed through spectral water indices, land cover classification, change detection and risk mapping to examine moisture variability, land cover modifications, area changes and proximity-based threats over two decades. the random forest algorithm attained the highest accuracy (89.5%) for land cover classification based on rigorous k-fold cross-validation, with a training accuracy of 91.2% and a testing accuracy of 87.3%. this demonstrates the model's effectiveness and robustness for wetland vulnerability modeling in the study area, showing 11% shrinkage in open water bodies since 2000. inventory risk zoning revealed 30% of present-day wetland areas under moderate to high vulnerability. the cellular automata-markov (ca-markov) model predicted continued long-term declines driven by swelling anthropogenic pressures like the 29 million population growth surrounding khinjhir lake. the research demonstrates the effectiveness of integrating satellite data analytics, machine learning algorithms and spatial modeling to generate actionable insights into wetland vulnerability to guide conservation planning. the findings provide a robust baseline to inform policies aimed at ensuring the health and sustainable management and conservation of khinjhir lake wetlands in the face of escalating human and climatic pressures that threaten the ecological health and functioning of these vital ecosystems.",ASLAM RW;SHU H;NAZ I;QUDDOOS A;YASEEN A;GULSHAD K;ALARIFI SS,2024,REMOTE SENSING,10.3390/rs16050928,https://doi.org/10.3390/rs16050928,Citations: 86 | Category: Minorité Sud (collab)
"Spatial Modeling Of Soil Erosion Risk And Its Implication For Conservation Planning: The Case Of The Gobele Watershed, East Hararghe Zone, Ethiopia","Soil erosion by water has accelerated over recent decades due to non-sustainable land use practices resulting in substantial land degradation processes. spatially explicit information on soil erosion is critical for the development and implementation of appropriate soil and water conservation (swc) measures. the objectives of this study were to estimate the magnitude of soil loss rate, assess the change of erosion risk, and elucidate their implication for swc planning in the gobele watershed, east hararghe zone, ethiopia. applying remote sensing data, the study first derived the revised universal soil loss equation (rusle) model parameters in an arcgis environment and estimated the soil loss rates. the estimated total soil loss in the watershed was 1,390,130.48 tons in 2000 and 1,022,445.09 tons in 2016 with a mean erosion rate of 51.04 t ha(-1) y(-1) and 34.26 t ha(-1) y(-1), respectively. the study area was divided into eight erosion risk classes ranging from very low to extremely high. we established a change detection matrix of the soil erosion risk classes between 2000 and 2016. the change analysis results have revealed that about 70.80% of the soil erosion risk areas remained unchanged, 19.67% increased in total area, and 9.53% decreased, showing an overall worsening of the situation. we identified and mapped areas with a higher and increasing erosion risk as swc priority areas using a multi-criteria decision rules (mcdr) method. the top three priority levels marked for the emergency swc measures account for about 0.04%, 0.49%, and 0.83%, respectively. these priority levels are situated along the steep slope areas in the north, northwest, south, and southeast of the gobele watershed. it is, thus, very critical to undertake proper intervention measures in upslope areas based on the priority levels to establish sustainable watershed management in the study area.",WOLDEMARIAM GW;IGUALA AD;TEKALIGN S;REDDY RU,2018,LAND,10.3390/land7010025,https://doi.org/10.3390/land7010025,Citations: 68 | Category: Sud uniquement
Satellite Tracking Of Sympatric Marine Megafauna Can Inform The Biological Basis For Species Co-Management,"Context: systematic conservation planning is increasingly used to identify priority areas for protection in marine systems. however, ecosystem-based approaches typically use density estimates as surrogates for animal presence and spatial modeling to identify areas for protection and may not take into account daily or seasonal movements of animals. additionally, sympatric and inter-related species are often managed separately, which may not be cost-effective. this study aims to demonstrate an evidence-based method to inform the biological basis for co-management of two sympatric species, dugongs and green sea turtles. this approach can then be used in conservation planning to delineate areas to maximize species protection. methodology/results: fast-acquisition satellite telemetry was used to track eleven dugongs and ten green turtles at two geographically distinct foraging locations in queensland, australia to evaluate the inter-and intra-species spatial relationships and assess the efficacy of existing protection zones. home-range analysis and bathymetric modeling were used to determine spatial use and compared with existing protection areas using gis. dugong and green turtle home-ranges significantly overlapped in both locations. however, both species used different core areas and differences existed between regions in depth zone use and home-range size, especially for dugongs. both species used existing protection areas in shoalwater bay, but only a single tracked dugong used the existing protection area in torres strait. conclusions/significance:: fast-acquisition satellite telemetry can provide evidence-based information on individual animal movements to delineate relationships between dugongs and green turtles in regions where they co-occur. this information can be used to increase the efficacy of conservation planning and complement more broadly based survey information. these species also use similar habitats, making complimentary co-management possible, but important differences exist between locations making it essential to customize management. this methodology could be applied on a broader scale to include other sympatric and inter-related species.",GREDZENS C;MARSH H;FUENTES MMPB;LIMPUS CJ;SHIMADA T;HAMANN M,2014,PLOS ONE,10.1371/journal.pone.0098944,https://doi.org/10.1371/journal.pone.0098944,Citations: 53 | Category: Nord uniquement
Importance Of Regional Variation In Conservation Planning: A Rangewide Example Of The Greater Sage-Grouse,"We developed rangewide population and habitat models for greater sage-grouse (centrocercus urophasianus) that account for regional variation in habitat selection and relative densities of birds for use in conservation planning and risk assessments. we developed a probabilistic model of occupied breeding habitat by statistically linking habitat characteristics within 4 miles of an occupied lek using a nonlinear machine learning technique (random forests). habitat characteristics used were quantified in gis and represent standard abiotic and biotic variables related to sage-grouse biology. statistical model fit was high (mean correctly classified = 82.0%, range = 75.4-88.0%) as were cross-validation statistics (mean = 80.9%, range = 75.1-85.8%). we also developed a spatially explicit model to quantify the relative density of breeding birds across each greater sage-grouse management zone. the models demonstrate distinct clustering of relative abundance of sage-grouse populations across all management zones. on average, approximately half of the breeding population is predicted to be within 10% of the occupied range. we also found that 80% of sage-grouse populations were contained in 25-34% of the occupied range within each management zone. our rangewide population and habitat models account for regional variation in habitat selection and the relative densities of birds, and thus, they can serve as a consistent and common currency to assess how sage-grouse habitat and populations overlap with conservation actions or threats over the entire sage-grouse range. we also quantified differences in functional habitat responses and disturbance thresholds across the western association of fish and wildlife agencies (wafwa) management zones using statistical relationships identified during habitat modeling. even for a species as specialized as greater sage-grouse, our results show that ecological context matters in both the strength of habitat selection (i.e., functional response curves) and response to disturbance.",DOHERTY KE;EVANS JS;COATES PS;JULIUSSON LM;FEDY BC,2016,ECOSPHERE,10.1002/ecs2.1462,https://doi.org/10.1002/ecs2.1462,Citations: 82 | Category: Nord uniquement
Spatial Modeling Reveals A Growing Threat To The World's Largest Rhodolith Beds,"Rhodolith beds comprise a highly biodiverse and productive ecosystem that dominates the mid and outer shelf of the tropical eastern south american coast. conservation planning and specific conservation measures are lack-ing, while impacts over rhodolith beds are escalating due to carbonate mining, and other activities such as oil and gas exploration and seaport dredging. primary data detailing the spatial extent and characteristics of rhodolith beds within the brazilian economic exclusive zone (eez) depend on extensive acoustic surveys and ground truthing, which are costly and logistically challenging. here, we compiled an extensive database of rhodolith occurrence from the scientific and grey literature. 'ensemble' ecological niche modelling (eenm) techniques predicted the total area suitable for rhodoliths across the brazilian eez and gave insight into the environmental variables driving their distribution in this region. using the suitability map produced from the ensemble model, we compared rhodolith spatial overlap with oil and gas and mining activities and marine protected areas (mpas). light, saturation state of calcite and minimum temperature were the main predictors of rhodolith occurrence. rhodoliths were predicted to occur over-167,379 km2 of the brazilian eez largely (-95%) in the amazonas (am), northeastern brazil (nb) and eastern brazil (eb) ecoregions. the representation of rhodoliths in areas with mining and oil and gas activities was similar for the eez as a whole. within each ecoregion, representation of rhodolith beds in mpas is negatively related with their overlap with mining and oil and gas activities. eastern brazil (eb) stood out as the area with the highest representation of rhodoliths under threat, in an area 6.7 times larger than those represented in mpas, including the south region of the largest continuous extension of rho-dolith beds, in the abrolhos bank. within the nb and am ecoregions, which are under growing industrialization, rhodolith beds are poorly represented in no-take mpas. our results provide a basis for moving toward more effective management and conservation strategies for rhodolith beds in brazil's eez.",DOS SANTOS VS;DE MOURA RL;MAGDALENA UR;HOVEY R;KENDRICK G;BAHIA RG;AMADO GM;DE SIQUEIRA MF,2023,OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2022.106441,https://doi.org/10.1016/j.ocecoaman.2022.106441,Citations: 10 | Category: Majorité Sud
Spatial Modelling And Estimation Of Mammals' Mortalities By Pantanal 2020 Megafires,"Extreme wildfire events, such as the pantanal 2020 megafires, are expected to become more common. assessing the impacts of such extreme events on wildlife is imperative for conservation planning. direct observation of carcasses can provide valuable information on how these impacts relate to spatial heterogeneity. here, we use double-observer carcass surveys to assess the numbers and spatial patterns of direct mortalities of medium- to large-sized mammals resulting from the pantanal 2020 megafires in a large reserve (1080 km2) in the northern pantanal wetland. accounting for imperfect detection, we model the spatial variation in mortality occurrence and abundance, testing the effects of habitat-related variables and wildfire severity using multi-species n-mixture models. we found that 26 out of 27 species of medium and large-sized mammals died from the fires with a mean estimate of around 49 thousand individuals. the most affected species included capuchin monkeys, agoutis, peccaries, tapirs, brocket deer, tamanduas, coatis and capybaras. direct mortality of mammals by wildfires was affected by landscape factors related to species habitats, species traits (probably related to escape or refuge strategies), and the intensity of the wildfires. mortalities presented a general positive relationship with non-flooded forests (a fire-sensitive habitat in pantanal) and with the severity of wildfires. artificial water bodies, a common landscape structure in pantanal, had 7.5 times more deaths than other areas. synthesis and applications: with the approach used, we were able to: (i) identify mortality hotspots associated with landscape features; (ii) simultaneously identify the most affected species and assess the average relationships for all the assemblage of medium- and large-sized mammals. we discuss conservation and management actions in two contexts: species prioritization for rescuing and monitoring; and territory prioritization for fire prevention and fighting. eventos de inc & ecirc;ndios ambientais extremos, como os megainc & ecirc;ndios de 2020 no pantanal, devem se tornar cada vez mais comuns. avaliar os impactos desse tipo de evento extremo em animais silvestres & eacute; importante para o planejamento de conserva & ccedil;& atilde;o. a observa & ccedil;& atilde;o diretas de carca & ccedil;as pode fornecer informa & ccedil;& otilde;es valiosas sobre como esses impactos se relacionam com a heterogeneidade espacial da paisagem. n & oacute;s usamos amostragens de carca & ccedil;as com protocolo de observadores duplos para estimar os n & uacute;meros e avaliar os padr & otilde;es espaciais da mortalidade direta de mam & iacute;feros de m & eacute;dio e grande porte resultantes dos megainc & ecirc;ndios de 2020 em uma reserva (1080 km2) no pantanal norte. levando em conta a detec & ccedil;& atilde;o imperfeita, modelamos a varia & ccedil;& atilde;o espacial na ocorr & ecirc;ncia e abund & acirc;ncia das mortalidades, tesando os efeitos de vari & aacute;veis relacionadas com o h & aacute;bitat das esp & eacute;cies e com a severidade dos inc & ecirc;ndios usando modelos de mistura de abund & acirc;ncia multiesp & eacute;cie. encontramos que 26 de 27 esp & eacute;cies de mam & iacute;feros de m & eacute;dio e grande porte morreram diretamente devido aos inc & ecirc;ndios, com uma estimativa m & eacute;dia de em torno de 49 mil indiv & iacute;duos. as esp & eacute;cies mais afetadas incluem macacos-prego, cutias, catetos, queixadas, antas, veados mateiro e catingueiro, tamandu & aacute;s-mirins, quatis e capivaras. a mortalidade direta de mam & iacute;feros pelo fogo foi influenciada por aspectos da paisagem relacionados ao h & aacute;bitat das esp & eacute;cies, por caracter & iacute;sticas das esp & eacute;cies provavelmente relacionadas a estrat & eacute;gias de fuga ou ref & uacute;gio e pela intensidade dos inc & ecirc;ndios. as mortalidades apresentaram uma rela & ccedil;& atilde;o positiva geral com florestas n & atilde;o-alag & aacute;veis (um h & aacute;bitat sens & iacute;vel ao fogo no pantanal) e com a severidade dos inc & ecirc;ndios. tanques (pequenos lagos artificiais), uma estrutura comum na paisagem do pantanal, apresentou 7,5 vezes mais mortes do que em outras & aacute;reas. s & iacute;ntese e aplica & ccedil;& otilde;es: com a abordagem usada, fomos capazes de: (i) identificar & aacute;reas cr & iacute;ticas de concentra & ccedil;& atilde;o de mortalidade associadas a aspectos da paisagem; e (ii) simultaneamente identificar as esp & eacute;cies mais afetadas e avaliar as rela & ccedil;& otilde;es m & eacute;dias para toda a assembleia de mam & iacute;feros de m & eacute;dio e grande porte. n & oacute;s discutimos a & ccedil;& otilde;es de manejo e conserva & ccedil;& atilde;o em dois contextos: prioriza & ccedil;& atilde;o de esp & eacute;cies para resgate e monitoramento; e prioriza & ccedil;& atilde;o territorial para combate e preven & ccedil;& atilde;o de inc & ecirc;ndios. with the approach used, we were able to: (i) identify mortality hotspots associated with landscape features; (ii) simultaneously identify the most affected species and assess the average relationships for all the assemblage of medium- and large-sized mammals. we discuss conservation and management actions in two contexts: species prioritization for rescuing and monitoring; and territory prioritization for fire prevention and fighting.image",BRACK IV;CORDEIRO JLP;KINDEL A;RANGEL BZ;CRAWSHAW D;HEIERMANN D;BERTO DO;SICURO FL;DE OLIVEIRA GS;GONÇALVES GS;FRANCESCHI IC;LERMEN IS;DE OLIVEIRA MB;THOMAS PA;DE OLIVEIRA RAA;CONCEIÇAO TF;DE OLIVEIRA LFB,2024,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.14789,https://doi.org/10.1111/1365-2664.14789,Citations: 4 | Category: Majorité Sud
